ts_code,exchange,chairman
603026.SH,SSE,郭天明
603999.SH,SSE,刘永升
601188.SH,SSE,王庆波
601518.SH,SSE,郝晶祥
603655.SH,SSE,王曙光
603339.SH,SSE,黄杰
603596.SH,SSE,袁永彬
605189.SH,SSE,何培富
603696.SH,SSE,林肖芳
603978.SH,SSE,陈学敏
603377.SH,SSE,徐雄
603628.SH,SSE,HONG DANIEL
605183.SH,SSE,阙伟东
600905.SH,SSE,王武斌
601928.SH,SSE,孙真福
688398.SH,SSE,汪坤明
603779.SH,SSE,黄祖超
605398.SH,SSE,孙正暘
688536.SH,SSE,周之栩
605058.SH,SSE,陈定红
688561.SH,SSE,齐向东
688306.SH,SSE,周兴宥
603721.SH,SSE,曾雄
688215.SH,SSE,袁峰
603165.SH,SSE,冯荣华
603800.SH,SSE,舒志高
603615.SH,SSE,陈葵生
688181.SH,SSE,赵雷
603176.SH,SSE,赵亚尊
603332.SH,SSE,席文杰
603032.SH,SSE,宋国强
603729.SH,SSE,余亦坤
688511.SH,SSE,巨万里
603677.SH,SSE,卢文祥
603929.SH,SSE,姚祖骧
603737.SH,SSE,洪杰
603018.SH,SSE,杨卫东
603538.SH,SSE,姚成志
603023.SH,SSE,刘高深
605011.SH,SSE,许阳
605133.SH,SSE,夏诚亮
605488.SH,SSE,夏厚君
603663.SH,SSE,夏鹏
603928.SH,SSE,王进兴
688219.SH,SSE,李健益
603588.SH,SSE,凌锦明
603811.SH,SSE,颜贻意
688057.SH,SSE,廖志民
603367.SH,SSE,杜振新
688312.SH,SSE,刘燕
603238.SH,SSE,任建华
603337.SH,SSE,赵新庆
601700.SH,SSE,范立义
688015.SH,SSE,郜春海
603898.SH,SSE,沈汉标
688160.SH,SSE,唐咚
601689.SH,SSE,邬建树
605305.SH,SSE,刘志欣
603158.SH,SSE,蒋学真
688337.SH,SSE,王悦
688021.SH,SSE,潘吉庆
603813.SH,SSE,余军
603969.SH,SSE,谢志峰
603551.SH,SSE,Fang James
603637.SH,SSE,范其海
603298.SH,SSE,赵礼敏
605055.SH,SSE,傅双利
605151.SH,SSE,朱燕阳
603180.SH,SSE,潘孝贞
600956.SH,SSE,曹欣
688658.SH,SSE,于伟仕
603889.SH,SSE,沈建华
688091.SH,SSE,周劲松
603515.SH,SSE,王耀海
688316.SH,SSE,黄允松
603112.SH,SSE,王春翔
603918.SH,SSE,金史平
603197.SH,SSE,陈洪凌
