ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
689009.SH,20211231,69.0,71.25,67.3,70.07,68.24,1.83,2.6817,20822.95,144365.535
872925.BJ,20211231,26.33,26.94,24.0,25.31,26.59,-1.28,-4.8138,14701.94,37643.072
871981.BJ,20211231,41.0,43.98,40.98,43.08,40.83,2.25,5.5107,7918.38,33826.006
871642.BJ,20211231,19.51,19.72,18.32,18.5,18.99,-0.49,-2.5803,22525.13,42471.563
871553.BJ,20211231,5.77,6.26,5.77,5.96,5.73,0.23,4.014,14259.91,8637.282
871396.BJ,20211231,13.73,14.41,13.6,14.08,13.59,0.49,3.6056,2004.5,2821.739
870436.BJ,20211231,20.43,21.8,20.38,20.56,20.1,0.46,2.2886,21732.18,45852.531
839946.BJ,20211231,6.42,7.1,6.38,6.7,6.29,0.41,6.5183,31621.84,21525.934
839729.BJ,20211231,14.77,15.39,14.77,15.1,14.87,0.23,1.5467,8948.95,13619.958
839680.BJ,20211231,19.66,21.0,19.66,20.94,19.59,1.35,6.8913,15009.64,30903.176
839167.BJ,20211231,20.82,21.79,20.31,21.01,20.5,0.51,2.4878,5886.58,12462.254
838924.BJ,20211231,11.48,12.34,11.3,12.26,11.25,1.01,8.9778,29066.85,34820.564
838275.BJ,20211231,7.08,7.5,6.93,7.27,7.0,0.27,3.8571,29345.56,21397.715
838163.BJ,20211231,7.87,8.15,7.82,8.14,7.76,0.38,4.8969,9434.65,7612.615
838030.BJ,20211231,5.89,6.29,5.83,6.29,5.8,0.49,8.4483,35058.87,21446.815
837344.BJ,20211231,26.66,28.0,26.06,27.38,27.18,0.2,0.7358,15411.35,41882.883
837242.BJ,20211231,12.73,13.25,12.61,12.87,12.58,0.29,2.3052,5456.41,7059.252
837212.BJ,20211231,16.81,17.68,16.61,17.0,16.23,0.77,4.7443,16380.11,28182.523
837092.BJ,20211231,27.49,28.51,27.27,28.03,27.2,0.83,3.0515,7013.34,19699.893
836892.BJ,20211231,16.88,17.65,16.71,17.12,16.73,0.39,2.3311,2808.35,4819.375
836826.BJ,20211231,14.0,15.8,13.8,14.65,13.87,0.78,5.6236,29710.13,43596.157
836720.BJ,20211231,26.98,28.0,26.8,27.3,26.84,0.46,1.7139,27262.18,74632.849
836675.BJ,20211231,8.86,9.3,8.86,9.2,8.84,0.36,4.0724,16573.53,15189.671
836433.BJ,20211231,12.4,13.87,11.2,11.39,12.62,-1.23,-9.7464,160181.73,204678.173
836260.BJ,20211231,17.91,20.52,17.51,19.35,17.7,1.65,9.322,16413.35,31520.357
836239.BJ,20211231,137.0,137.9,130.01,132.05,135.98,-3.93,-2.8901,4439.59,59300.043
836149.BJ,20211231,8.89,10.3,8.89,9.55,8.68,0.87,10.023,31110.53,30390.242
836077.BJ,20211231,58.89,60.61,57.06,57.35,57.99,-0.64,-1.1036,9644.67,56099.051
835670.BJ,20211231,23.45,28.9,22.8,27.23,23.13,4.1,17.7259,47368.92,122730.075
835640.BJ,20211231,21.94,22.47,21.7,21.9,21.62,0.28,1.2951,5586.24,12325.726
835508.BJ,20211231,12.42,12.96,12.34,12.65,12.35,0.3,2.4291,8472.67,10828.883
835368.BJ,20211231,104.04,104.98,100.5,102.3,102.2,0.1,0.0978,2203.05,22692.615
835305.BJ,20211231,18.08,18.75,18.08,18.49,17.99,0.5,2.7793,15040.34,27826.227
835185.BJ,20211231,148.02,152.6,144.0,148.02,148.7,-0.68,-0.4573,8949.9,133349.788
835184.BJ,20211231,8.97,9.08,8.86,9.02,8.87,0.15,1.6911,11091.94,9975.044
835174.BJ,20211231,22.79,23.4,21.95,22.54,22.78,-0.24,-1.0536,11517.6,26030.156
834765.BJ,20211231,9.93,10.4,9.8,10.14,9.7,0.44,4.5361,7933.93,8037.509
834682.BJ,20211231,6.85,7.11,6.82,7.06,6.78,0.28,4.1298,24408.04,17183.168
834599.BJ,20211231,9.55,9.96,9.46,9.83,9.43,0.4,4.2418,22253.07,21730.238
834475.BJ,20211231,11.26,11.68,11.11,11.53,11.11,0.42,3.7804,11821.06,13597.935
834021.BJ,20211231,5.8,7.05,5.8,6.09,5.47,0.62,11.3346,277226.91,174207.552
