ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
689009.SH,20220128,60.65,61.06,59.6,60.81,60.6,0.21,0.3465,10422.22,63002.207
689009.SH,20220127,62.1,62.1,60.6,60.6,61.99,-1.39,-2.2423,7528.33,46053.452
689009.SH,20220126,62.16,63.5,60.84,61.99,62.65,-0.66,-1.0535,10248.16,63070.893
689009.SH,20220125,63.3,63.88,62.1,62.65,64.21,-1.56,-2.4295,9464.44,59851.222
689009.SH,20220124,63.6,64.39,60.0,64.21,64.0,0.21,0.3281,16104.39,100522.026
689009.SH,20220121,64.24,64.8,63.03,64.0,64.88,-0.88,-1.3564,9539.45,60776.282
689009.SH,20220120,66.0,66.0,64.0,64.88,65.1,-0.22,-0.3379,6859.24,44566.5
689009.SH,20220119,64.97,65.85,64.09,65.1,65.55,-0.45,-0.6865,8650.97,56394.762
689009.SH,20220118,65.3,65.99,63.79,65.55,65.22,0.33,0.506,10992.9,71017.392
689009.SH,20220117,66.25,66.66,65.21,65.22,66.19,-0.97,-1.4655,14416.46,94978.746
689009.SH,20220114,64.7,66.99,64.1,66.19,64.88,1.31,2.0191,12889.08,85149.681
689009.SH,20220113,64.0,66.33,62.29,64.88,64.1,0.78,1.2168,17361.18,112197.016
689009.SH,20220112,64.0,64.66,63.01,64.1,63.38,0.72,1.136,12416.9,79304.785
689009.SH,20220111,63.01,65.45,63.01,63.38,63.46,-0.08,-0.1261,13589.68,87416.293
689009.SH,20220110,63.5,64.0,61.53,63.46,63.91,-0.45,-0.7041,12066.12,76220.486
689009.SH,20220107,67.65,68.26,63.71,63.91,67.66,-3.75,-5.5424,19090.26,125351.331
689009.SH,20220106,67.62,68.7,66.0,67.66,68.0,-0.34,-0.5,17337.97,116498.205
689009.SH,20220105,68.79,69.86,65.86,68.0,68.96,-0.96,-1.3921,23180.2,157267.45
689009.SH,20220104,69.33,70.42,68.81,68.96,70.07,-1.11,-1.5841,12195.52,84734.435
